Type	Rent	Floor	Total	M2	F
st	8500	1	5	15	no
st	9000	1	5	14	no
st	9500	8	9	15	yes
st	8000	1	5	12.2	yes
st	9000	2	5	18	yes
st	9000	1	5	14	yes
st	10000	2	5	19	yes
st	8000	1	5	14	no
st	6500	1	3	13	yes
st	9000	2	4	13	yes
st	11000	3	5	20	yes
st	7700	5	5	19	no
st	9000	1	5	12	no
st	10000	4	5	20	yes
st	12000	3	3	19	yes
fl	12000	5	10	39	yes
fl	10000	1	5	26	no
fl	13000	4	9	29	yes
fl	13000	1	17	40	yes
fl	12000	4	9	38	yes
fl	19000	6	9	35	yes
fl	16000	2	10	44	no
fl	13000	13	15	36.6	no
fl	18000	1	6	55	yes
fl	13500	2	9	37	yes
fl	11500	4	17	38	no
fl	14000	5	17	38	no
fl	12000	9	10	24	yes
fl	13000	2	5	34	yes
fl	13000	4	5	32	yes
fl	15000	2	7	44	yes
fl	10000	4	5	18	yes
fl	16000	7	10	33	yes
fl	12000	2	4	33	yes
fl	10000	3	5	42	no
fl	10000	2	10	35	no
fl	12000	3	5	30	yes
fl	12000	5	5	36	yes
fl	15000	2	10	44	yes
fl	13000	4	5	34	yes
fl	16000	3	6	47	yes
fl	12000	4	5	33	yes
fl	25000	4	7	41	yes
fl	13500	4	5	41	yes
fl	13000	4	5	31	yes
fl	17500	10	10	41	yes
fl	1000	5	9	37	yes
fl	19000	4	5	3	yes
fl	12500	2	4	28.8	no
fl	20000	6	9	37	yes
